zip,enlisted_begin_effective_date,enlisted_end_effective_date,rsid_enlisted,rsid_enlisted_station,rsid_enlisted_company,rsid_enlisted_battalion,rsid_enlisted_brigade,rsid_enlisted_command,lduic_enlisted_station,lduic_enlisted_company,lduic_enlisted_battalion,uic_enlisted_brigade,uic_enlisted_command,medical_begin_effective_date,medical_end_effective_date,rsid_medical,rsid_medical_station,rsid_medical_company,rsid_medical_battalion,rsid_medical_brigade,rsid_medical_command,lduic_medical_station,lduic_medical_company,lduic_medical_battalion,uic_medical_brigade,uic_medical_command,chaplain_begin_effective_date,chaplain_end_effective_date,rsid_chaplain,rsid_chaplain_station,rsid_chaplain_company,rsid_chaplain_battalion,rsid_chaplain_brigade,rsid_chaplain_command,lduic_chaplain_station,lduic_chaplain_company,lduic_chaplain_battalion,uic_chaplain_brigade,uic_chaplain_command,sex_by_age_b01001_001e,total_male_pop_b01001_002e,total_female_pop_b01001_026e,total_population_b01003_001e,total_by_race_b02001_001e,tot_white_b02001_002e,tot_black_african_american_b02001_003e,tot_american_indian_alaskan_b02001_004e,tot_asian_b02001_005e,tot_native_hawaiian_pacific_island_b02001_006e,tot_some_other_races_b02001_007e,tot_two_or_more_races_b02001_008e,tot_two_or_more_some_other_races_b02001_009e,tot_two_or_more_excl_some_other_three_more_races_b02001_010e,total_veteran_b21001_002e,total_nonveteren_b21001_003e,total_male_veteran_b21001_005e,total_male_nonveteren_b21001_006e,total_female_veteran_b21001_023e,total_female_nonveteren_b21001_024e,tot_vet_education_twenty_five_over_b21003_002e,tot_vet_edu_less_than_high_school_b21003_003e,tot_vet_edu_high_school_b21003_004e,tot_vet_edu_some_college_or_assoc_degree_b21003_005e,tot_vet_edu_bachelors_or_higher_b21003_006e,tot_nonvet_education_twenty_five_over_b21003_007e,tot_nonvet_edu_less_than_high_school_b21003_008e,tot_nonvet_edu_high_school_b21003_009e,tot_nonvet_edu_some_college_or_assoc_degree_b21003_010e,tot_nonvet_edu_bachelors_or_higher_b21003_011e,tot_median_income_vet_b21004_002e,tot_median_income_vet_male_b21004_003e,tot_median_income_vet_female_b21004_004e,tot_median_income_nonvet_b21004_005e,tot_median_income_nonvet_male_b21004_006e,tot_median_income_nonvet_female_b21004_007e,tot_male_15_17_b01001_006e,tot_male_18_19_b01001_007e,tot_male_20_b01001_008e,tot_male_21_b01001_009e,tot_male_22_24_b01001_010e,tot_female_15_17_b01001_030e,tot_female_18_19_b01001_031e,tot_female_20_b01001_032e,tot_female_21_b01001_033e,tot_female_22_24_b01001_034e
99146,9/27/2024,,6L3R,SPOKANE NORTH (6L3R),RCTG CO SPOKANE (6L3),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB3R,W2AB30,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3K,SPOKANE MRS (9E3K),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13K,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,25,4,21,25,25,25,0,0,0,0,0,0,0,0,4,21,4,0,0,21,4,0,0,0,4,21,0,15,0,6,,,,,,,0,0,0,0,0,0,0,0,0,0
99022,9/27/2024,,6L3W,CHENEY (6L3W),RCTG CO SPOKANE (6L3),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB3W,W2AB30,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3K,SPOKANE MRS (9E3K),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13K,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,8718,4488,4230,8718,8718,7883,31,88,193,3,224,296,69,227,1239,5501,1164,2150,75,3351,1215,28,287,385,515,4962,320,1628,1789,1225,45409,45769,,29666,31579,27278,274,152,48,37,65,271,49,55,27,130
99323,9/27/2024,,6L5H,KENNEWICK (6L5H),RCTG CO YAKIMA (6L5),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB5H,W2AB50,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3S,SEATTLE MRS (9E3S),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13S,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,4192,2328,1864,4192,4192,3018,177,20,0,0,454,523,304,219,201,2743,183,1369,18,1374,201,0,35,62,104,2406,339,942,705,420,50417,47875,,38012,45500,25625,129,47,14,0,84,149,93,68,13,18
98939,9/27/2024,,6L5W,YAKIMA (6L5W),RCTG CO YAKIMA (6L5),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB5W,W2AB50,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3S,SEATTLE MRS (9E3S),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13S,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,67,38,29,67,67,67,0,0,0,0,0,0,0,0,0,67,0,38,0,29,0,0,0,0,0,67,49,18,0,0,,,,9612,21375,,0,0,0,0,0,0,0,0,0,0
99697,9/27/2024,,6L6S,SOLDOTNA (6L6S),RCTG CO ALASKA (6L6),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB6S,W2AB60,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3A,ANCHORAGE MRS (9E3A),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13A,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98170,9/27/2024,,6L2C,NORTHGATE (6L2C),RCTG CO SEATTLE (6L2),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB2C,W2AB20,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3S,SEATTLE MRS (9E3S),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13S,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99706,9/27/2024,,6L6G,FAIRBANKS (6L6G),RCTG CO ALASKA (6L6),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB6G,W2AB60,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3A,ANCHORAGE MRS (9E3A),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13A,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,7,6,1,7,7,0,0,2,0,0,0,5,0,5,2,1,2,0,0,1,2,0,2,0,0,1,0,0,1,0,,,,,,,0,0,0,0,0,0,0,0,0,0
99256,9/27/2024,,6L3O,SPOKANE VALLEY (6L3O),RCTG CO SPOKANE (6L3),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB3Y,W2AB30,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3K,SPOKANE MRS (9E3K),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13K,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99763,9/27/2024,,6L6G,FAIRBANKS (6L6G),RCTG CO ALASKA (6L6),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB6G,W2AB60,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3A,ANCHORAGE MRS (9E3A),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13A,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,562,349,213,562,562,48,0,504,0,0,0,10,0,10,20,325,16,210,4,115,20,5,6,4,5,286,75,127,40,44,,,,16103,,12232,17,6,4,6,2,13,7,0,7,7
99027,9/27/2024,,6L3O,SPOKANE VALLEY (6L3O),RCTG CO SPOKANE (6L3),USA RCTG BN SEATTLE (6L),USA 6TH RCTG BDE (6),US ARMY RECRUITING COMMAND (0A),W2AB3Y,W2AB30,W2ABAA,W06WAA,W06QAA,9/27/2024,,9E3K,SPOKANE MRS (9E3K),SEATTLE MRCO (9E3),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B13K,W1B130,W1B1AA,W6QVAA,W06QAA,9/27/2024,,9E9X,WEST CRS (9E9X),6TH AMEDD CHAPLAIN RCTG CO (9E9),6TH MEDICAL RCTG BN (9E),MEDICAL RECRUITING BRIGADE (9),US ARMY RECRUITING COMMAND (0A),W1B19X,W1B1AA,W1B1AA,W6QVAA,W06QAA,5985,3040,2945,5985,5985,5713,0,0,25,0,130,117,21,96,804,4037,739,1678,65,2359,804,44,240,349,171,3668,147,1067,1642,812,44477,45234,33000,28980,36857,22603,123,47,18,37,46,91,47,23,104,47
