2025-11-17T15:16:18: INFO:     127.0.0.1:50014 - "GET /api/v2/dod-comparison?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:16:27: INFO:     127.0.0.1:50019 - "GET /api/v2/mission-analysis?analysis_level=brigade&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:16:27: INFO:     127.0.0.1:50020 - "GET /api/v2/mission-analysis?analysis_level=brigade&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:16:43: INFO:     127.0.0.1:50022 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:16:43: INFO:     127.0.0.1:50023 - "GET /api/v2/market-potential?geographic_level=cbsa&geographic_id=41860&fiscal_year=2025&quarter=Q4 HTTP/1.1" 200 OK
2025-11-17T15:16:50: INFO:     127.0.0.1:50026 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:16:50: INFO:     127.0.0.1:50027 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:16:50: INFO:     127.0.0.1:50029 - "GET /api/v2/projects HTTP/1.1" 200 OK
2025-11-17T15:16:50: INFO:     127.0.0.1:50028 - "GET /api/v2/projects/dashboard/summary HTTP/1.1" 200 OK
2025-11-17T15:17:40: INFO:     127.0.0.1:50050 - "GET /api/v2/calendar/events HTTP/1.1" 404 Not Found
2025-11-17T15:19:53: INFO:     127.0.0.1:50073 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:19:53: INFO:     127.0.0.1:50074 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2025 HTTP/1.1" 200 OK
2025-11-17T15:20:17: INFO:     127.0.0.1:50096 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2024 HTTP/1.1" 200 OK
2025-11-17T15:20:23: INFO:     127.0.0.1:50098 - "GET /api/v2/recruiting-funnel/metrics?fiscal_year=2026 HTTP/1.1" 200 OK
2025-11-17T15:20:33: INFO:     127.0.0.1:50101 - "GET /api/v2/analytics/schools?limit=15 HTTP/1.1" 200 OK
